"precinct","estimated_male","estimated_female","estimated_population"
"KWANOKUTHULA","10349.0","10593.0","20941.0"
"KWANONQABA","16965.0","16772.0","33736.0"
"KWAZAKELE","50780.0","56681.0","107458.0"
"LAAIPLEK","6764.0","7002.0","13766.0"
"LADISMITH","8499.0","8899.0","17393.0"
"LADY FRERE","25602.0","28638.0","54244.0"
"LADY GREY","3957.0","4181.0","8140.0"
"LADYBRAND","13565.0","14980.0","28548.0"
"LADYSMITH","50331.0","55323.0","105650.0"
"LAERSDRIFT","2192.0","2174.0","4365.0"
"LAINGSBURG","4023.0","4068.0","8090.0"
"LAMBERTSBAAI","3497.0","3584.0","7078.0"
"LAMONTVILLE","15870.0","17597.0","33469.0"
"LANGA","23417.0","24062.0","47482.0"
"LANGEBAAN","4006.0","4177.0","8183.0"
"LANGLAAGTE","12457.0","12522.0","24973.0"
"LANSDOWNE","23202.0","25284.0","48487.0"
"LAUDIUM","13807.0","13488.0","27294.0"
"LEBOENG","9662.0","12564.0","22227.0"
"LEBOWAKGOMO","63215.0","74288.0","137497.0"
"LEEU GAMKA","2757.0","2631.0","5389.0"
"LEEUDORINGSTAD","8099.0","8288.0","16386.0"
"LEHURUTSHE","29201.0","32902.0","62103.0"
"LENASIA","45425.0","45514.0","90945.0"
"LENASIA SOUTH","41909.0","41666.0","83582.0"
"LENTEGEUR","41904.0","44495.0","86391.0"
"LEPHALALE","31399.0","19789.0","51186.0"
"LESLIE","18172.0","18273.0","36446.0"
"LETHABONG","12503.0","13845.0","26354.0"
"LETHLABILE","40352.0","42271.0","82629.0"
"LETSITELE","35651.0","42226.0","77872.0"
"LEVUBU","24355.0","29289.0","53641.0"
"LIBODE","55271.0","64647.0","119919.0"
"LICHTENBURG","34978.0","32568.0","67550.0"
"LIME ACRES","2667.0","2177.0","4846.0"
"LINDEN","31173.0","34636.0","65808.0"
"LINDLEY","6431.0","7138.0","13567.0"
"LINGELETHU-WEST","30822.0","33545.0","64371.0"
"LOATE","53177.0","52194.0","105378.0"
"LOERIESFONTEIN","1792.0","1709.0","3501.0"
"LOMANYANENG","25581.0","27816.0","53387.0"
"LOTHAIR","6840.0","7516.0","14358.0"
"LOUWSBURG","7567.0","8555.0","16122.0"
"LOW'S CREEK","3724.0","3048.0","6770.0"
"LOXTON","846.0","842.0","1690.0"
"LUCKHOFF","2139.0","2170.0","4308.0"
"LUKHOLWENI","9198.0","10749.0","19938.0"
"LULEKANI","24516.0","28414.0","52933.0"
"LUSIKISIKI","93171.0","109292.0","202472.0"
"LUTZVILLE","7435.0","7043.0","14476.0"
