"precinct","estimated_male","estimated_female","estimated_population"
"ROSENDAL","2829.0","3020.0","5847.0"
"ROSSOUW","377.0","359.0","737.0"
"ROUXVILLE","3956.0","4347.0","8302.0"
"RUST DE WINTER","1589.0","1757.0","3349.0"
"RUSTENBURG","57052.0","48420.0","105473.0"
"SAAMBOUBRUG","753.0","550.0","1302.0"
"SABIE","10427.0","9044.0","19475.0"
"SAKHILE","13112.0","14085.0","27195.0"
"SALDANHA","14286.0","14673.0","28968.0"
"SANDRINGHAM","20807.0","22729.0","43535.0"
"SANDTON","50545.0","55923.0","106484.0"
"SANNIESHOF","8267.0","7946.0","16213.0"
"SARON","4842.0","5194.0","10032.0"
"SASELAMANI","27487.0","35929.0","63418.0"
"SASOLBURG","16280.0","15611.0","31895.0"
"SAWOTI","15003.0","17533.0","32534.0"
"SCHOEMANSDAL","42624.0","48136.0","90758.0"
"SCHWEIZER-RENEKE","9996.0","8790.0","18788.0"
"SCOTTBURGH","14718.0","16116.0","30835.0"
"SEA POINT","11552.0","13256.0","24808.0"
"SEAFIELD","768.0","770.0","1539.0"
"SEBAYENG","20748.0","23988.0","44732.0"
"SEBENZA","14956.0","15735.0","30688.0"
"SEBOKENG","80358.0","84083.0","164439.0"
"SECUNDA","20731.0","19135.0","39867.0"
"SEKGOSESE","19983.0","26046.0","46031.0"
"SEKHUKHUNE","55259.0","65376.0","120641.0"
"SELOSESHA","31785.0","35038.0","66835.0"
"SENEKAL","13791.0","15304.0","29094.0"
"SENWABARWANA","42039.0","51843.0","93888.0"
"SESHEGO","91410.0","101144.0","192562.0"
"SETLAGOLE","13748.0","13488.0","27234.0"
"SEVEN FOUNTAINS","1701.0","1631.0","3331.0"
"SEVERN","2073.0","2016.0","4088.0"
"SEYMOUR","2965.0","3068.0","6033.0"
"SHARPEVILLE","32073.0","32908.0","64979.0"
"SHEEPMOOR","4146.0","4351.0","8494.0"
"SILOAM","27771.0","34051.0","61821.0"
"SILVERTON","50114.0","52070.0","102186.0"
"SIMON'S TOWN","8299.0","4743.0","13043.0"
"SINOVILLE","33191.0","35681.0","68869.0"
"SIYABUSWA","54119.0","60701.0","114828.0"
"SKUKUZA","2856.0","2456.0","5313.0"
"SMITHFIELD","2927.0","3240.0","6168.0"
"SOMERSET EAST","10055.0","10775.0","20832.0"
"SOMERSET WEST","27258.0","29832.0","57098.0"
"SOPHIA TOWN","39121.0","41176.0","80296.0"
"SOSHANGUVE","46557.0","49910.0","96466.0"
"SOUTHPORT","10321.0","11396.0","21715.0"
"SOUTPAN","2134.0","2075.0","4208.0"
"SPRINGBOK","7128.0","7251.0","14375.0"
"SPRINGFONTEIN","2103.0","2143.0","4244.0"
"SPRINGS","58674.0","55007.0","113682.0"
"ST FAITHS","9575.0","11156.0","20731.0"
"ST FRANCIS BAY","3087.0","3017.0","6101.0"
"ST HELENA BAY","5612.0","5707.0","11319.0"
"STANDERTON","34952.0","34643.0","69594.0"
"STANFORD","3093.0","2991.0","6084.0"
"STEENBERG","29630.0","32094.0","61726.0"
"STEINKOPF","4009.0","4371.0","8383.0"
"STELLA","5074.0","4248.0","9323.0"
"STELLENBOSCH","25791.0","27557.0","53347.0"
"STERKSPRUIT","27461.0","31832.0","59303.0"
"STERKSTROOM","4133.0","4493.0","8626.0"
"STEUNMEKAAR","989.0","224.0","1213.0"
"STEVE VUKILE TSHWETE","8426.0","9471.0","17898.0"
"STEYNSBURG","4140.0","4489.0","8626.0"
"STEYNSRUS","5064.0","5811.0","10873.0"
"STEYTLERVILLE","2567.0","2581.0","5146.0"
"STILFONTEIN","9308.0","8418.0","17726.0"
"STILL BAY","3839.0","4350.0","8189.0"
"STORMS RIVER","4817.0","4774.0","9591.0"
"STRAND","24557.0","27045.0","51600.0"
"STRANDFONTEIN","13747.0","14510.0","28257.0"
"STRUISBAAI","2177.0","2333.0","4512.0"
"STRYDENBURG","1733.0","1698.0","3429.0"
"STUTTERHEIM","15040.0","16001.0","31037.0"
"SULENKAMA","13601.0","15452.0","29055.0"
"SUN CITY","33927.0","35122.0","69055.0"
"SUNDRA","10020.0","8899.0","18919.0"
"SUNDUMBILI","34785.0","39952.0","74738.0"
"SUNNYSIDE","40822.0","42016.0","82835.0"
"SUNRISE","7997.0","8376.0","16376.0"
"SUTHERLAND","1942.0","2027.0","3969.0"
"SUURBRAAK","1443.0","1504.0","2945.0"
"SWARTBERG","1628.0","1671.0","3299.0"
"SWARTKOPS","13880.0","14060.0","27936.0"
"SWARTRUGGENS","9825.0","8383.0","18210.0"
"SWELLENDAM","11988.0","12169.0","24159.0"
"SYDENHAM","36274.0","37951.0","74224.0"
"TABASE","3509.0","3759.0","7267.0"
"TABLE BAY HARBOUR","1408.0","982.0","2390.0"
"TABLE VIEW","36126.0","37473.0","73604.0"
"TAMARA","8871.0","9892.0","18762.0"
"TARKASTAD","3921.0","4156.0","8082.0"
"TARLTON","7897.0","7216.0","15110.0"
"TAUNG","49462.0","55090.0","104545.0"
"TAYLORS HALT","45971.0","50530.0","96499.0"
"TEMBA","117315.0","122909.0","240228.0"
"TEMBISA","149947.0","126429.0","276367.0"
"TEMBISA SOUTH","58657.0","53627.0","112293.0"
"THABA-NCHU","7476.0","8192.0","15667.0"
"THABAZIMBI","24604.0","19506.0","44114.0"
"THABONG","55257.0","58214.0","113471.0"
"THE BARRAGE","5332.0","4720.0","10050.0"
"THEMBALETHU","22107.0","21773.0","43892.0"
"THEUNISSEN","16348.0","14010.0","30360.0"
"THOHOYANDOU","137511.0","161892.0","299410.0"
"THOMAS RIVER","353.0","311.0","665.0"
"THORNHILL","3988.0","3770.0","7759.0"
"THORNHILL CISKEI","2742.0","3344.0","6088.0"
"THORNVILLE","7491.0","7739.0","15232.0"
"TIERPOORT","1305.0","1029.0","2334.0"
"TINA FALLS","9130.0","10983.0","20110.0"
"TINMYNE","21127.0","25130.0","46263.0"
